account_id,relationship_id,product,sub_type,deposit_type,balance,rate_paid,tenor_yrs
DP00001,R344,Deposit,Commercial CD,Time Deposit,2425100.0,0.0343,0.5
DP00002,R440,Deposit,Money Market / Sweep,Non-Operating,2601500.0,0.0342,0.0
DP00003,R261,Deposit,Analyzed DDA,Operating,1012200.0,0.009,0.0
DP00004,R334,Deposit,Analyzed DDA,Operating,1095300.0,0.0071,0.0
DP00005,R040,Deposit,Analyzed DDA,Operating,1359400.0,0.0112,0.0
DP00006,R071,Deposit,Money Market / Sweep,Non-Operating,5922400.0,0.031,0.0
DP00007,R004,Deposit,Analyzed DDA,Operating,8978100.0,0.0115,0.0
DP00008,R460,Deposit,Analyzed DDA,Operating,1932400.0,0.0019,0.0
DP00009,R067,Deposit,Commercial CD,Time Deposit,303800.0,0.0391,1.0
DP00010,R268,Deposit,Commercial CD,Time Deposit,659400.0,0.0386,1.0
DP00011,R272,Deposit,Money Market / Sweep,Non-Operating,1533500.0,0.0244,0.0
DP00012,R370,Deposit,Analyzed DDA,Operating,143000.0,0.0014,0.0
DP00013,R300,Deposit,Money Market / Sweep,Non-Operating,1702800.0,0.0321,0.0
DP00014,R238,Deposit,Commercial CD,Time Deposit,947000.0,0.0403,1.0
DP00015,R429,Deposit,Analyzed DDA,Operating,1150700.0,0.0018,0.0
DP00016,R451,Deposit,Analyzed DDA,Operating,815000.0,0.0079,0.0
DP00017,R004,Deposit,Commercial CD,Time Deposit,2380300.0,0.0378,0.5
DP00018,R059,Deposit,Analyzed DDA,Operating,765300.0,0.0048,0.0
DP00019,R375,Deposit,Money Market / Sweep,Non-Operating,458500.0,0.0272,0.0
DP00020,R483,Deposit,Money Market / Sweep,Non-Operating,1161400.0,0.0314,0.0
DP00021,R020,Deposit,Analyzed DDA,Operating,588400.0,0.0091,0.0
DP00022,R420,Deposit,Analyzed DDA,Operating,481900.0,0.0062,0.0
DP00023,R129,Deposit,Money Market / Sweep,Non-Operating,636600.0,0.0313,0.0
DP00024,R419,Deposit,Money Market / Sweep,Non-Operating,474000.0,0.0255,0.0
DP00025,R351,Deposit,Commercial CD,Time Deposit,752200.0,0.0368,0.5
DP00026,R004,Deposit,Analyzed DDA,Operating,3276100.0,0.0019,0.0
DP00027,R090,Deposit,Commercial CD,Time Deposit,1084800.0,0.0361,1.0
DP00028,R204,Deposit,Analyzed DDA,Operating,82600.0,0.008,0.0
DP00029,R028,Deposit,Analyzed DDA,Operating,5681100.0,0.0117,0.0
DP00030,R218,Deposit,Commercial CD,Time Deposit,453500.0,0.0341,1.0
DP00031,R398,Deposit,Analyzed DDA,Operating,2433000.0,0.0062,0.0
DP00032,R324,Deposit,Analyzed DDA,Operating,379600.0,0.0024,0.0
DP00033,R470,Deposit,Analyzed DDA,Operating,1634300.0,0.0066,0.0
DP00034,R446,Deposit,Money Market / Sweep,Non-Operating,1371500.0,0.0317,0.0
DP00035,R279,Deposit,Money Market / Sweep,Non-Operating,3798100.0,0.025,0.0
DP00036,R465,Deposit,Commercial CD,Time Deposit,506700.0,0.0384,1.0
DP00037,R280,Deposit,Analyzed DDA,Operating,146500.0,0.0061,0.0
DP00038,R413,Deposit,Analyzed DDA,Operating,403200.0,0.0083,0.0
DP00039,R077,Deposit,Analyzed DDA,Operating,353200.0,0.0112,0.0
DP00040,R433,Deposit,Commercial CD,Time Deposit,1310100.0,0.0399,2.0
DP00041,R166,Deposit,Money Market / Sweep,Non-Operating,141700.0,0.0305,0.0
DP00042,R216,Deposit,Analyzed DDA,Operating,1089800.0,0.0031,0.0
DP00043,R002,Deposit,Analyzed DDA,Operating,216800.0,0.0017,0.0
DP00044,R323,Deposit,Analyzed DDA,Operating,358200.0,0.0019,0.0
DP00045,R416,Deposit,Money Market / Sweep,Non-Operating,548500.0,0.0337,0.0
DP00046,R010,Deposit,Analyzed DDA,Operating,1844100.0,0.0007,0.0
DP00047,R150,Deposit,Money Market / Sweep,Non-Operating,369200.0,0.0296,0.0
DP00048,R323,Deposit,Analyzed DDA,Operating,569100.0,0.0058,0.0
DP00049,R077,Deposit,Analyzed DDA,Operating,1331700.0,0.0086,0.0
DP00050,R431,Deposit,Money Market / Sweep,Non-Operating,4165800.0,0.0351,0.0
DP00051,R435,Deposit,Money Market / Sweep,Non-Operating,656400.0,0.0343,0.0
DP00052,R482,Deposit,Analyzed DDA,Operating,469700.0,0.0018,0.0
DP00053,R001,Deposit,Money Market / Sweep,Non-Operating,5749400.0,0.0323,0.0
DP00054,R293,Deposit,Commercial CD,Time Deposit,2925900.0,0.0354,2.0
DP00055,R261,Deposit,Money Market / Sweep,Non-Operating,798600.0,0.0278,0.0
DP00056,R021,Deposit,Money Market / Sweep,Non-Operating,627700.0,0.0334,0.0
DP00057,R231,Deposit,Money Market / Sweep,Non-Operating,1414200.0,0.0233,0.0
DP00058,R468,Deposit,Analyzed DDA,Operating,507500.0,0.0009,0.0
DP00059,R478,Deposit,Analyzed DDA,Operating,206000.0,0.0001,0.0
DP00060,R484,Deposit,Analyzed DDA,Operating,2296600.0,0.011,0.0
DP00061,R004,Deposit,Analyzed DDA,Operating,4779200.0,0.0096,0.0
DP00062,R242,Deposit,Money Market / Sweep,Non-Operating,388700.0,0.0316,0.0
DP00063,R450,Deposit,Money Market / Sweep,Non-Operating,833100.0,0.0347,0.0
DP00064,R102,Deposit,Analyzed DDA,Operating,79000.0,0.0089,0.0
DP00065,R458,Deposit,Commercial CD,Time Deposit,845000.0,0.0334,2.0
DP00066,R198,Deposit,Commercial CD,Time Deposit,200900.0,0.036,2.0
DP00067,R259,Deposit,Analyzed DDA,Operating,222900.0,0.0108,0.0
DP00068,R078,Deposit,Analyzed DDA,Operating,414700.0,0.0083,0.0
DP00069,R466,Deposit,Analyzed DDA,Operating,194700.0,0.0073,0.0
DP00070,R400,Deposit,Commercial CD,Time Deposit,2587300.0,0.0354,1.0
DP00071,R384,Deposit,Money Market / Sweep,Non-Operating,759800.0,0.0298,0.0
DP00072,R331,Deposit,Money Market / Sweep,Non-Operating,218600.0,0.0249,0.0
DP00073,R045,Deposit,Commercial CD,Time Deposit,84900.0,0.0394,2.0
DP00074,R497,Deposit,Money Market / Sweep,Non-Operating,809600.0,0.0339,0.0
DP00075,R004,Deposit,Commercial CD,Time Deposit,2898600.0,0.037,2.0
DP00076,R305,Deposit,Analyzed DDA,Operating,256300.0,0.0015,0.0
DP00077,R071,Deposit,Analyzed DDA,Operating,6148100.0,0.0009,0.0
DP00078,R478,Deposit,Analyzed DDA,Operating,92500.0,0.0102,0.0
DP00079,R481,Deposit,Commercial CD,Time Deposit,1527000.0,0.0374,0.5
DP00080,R163,Deposit,Analyzed DDA,Operating,1274200.0,0.005,0.0
DP00081,R339,Deposit,Analyzed DDA,Operating,377000.0,0.0065,0.0
DP00082,R476,Deposit,Money Market / Sweep,Non-Operating,69500.0,0.0271,0.0
DP00083,R088,Deposit,Analyzed DDA,Operating,463400.0,0.011,0.0
DP00084,R420,Deposit,Money Market / Sweep,Non-Operating,579300.0,0.0326,0.0
DP00085,R234,Deposit,Analyzed DDA,Operating,983500.0,0.0023,0.0
DP00086,R205,Deposit,Analyzed DDA,Operating,784200.0,0.0109,0.0
DP00087,R070,Deposit,Analyzed DDA,Operating,4906300.0,0.006,0.0
DP00088,R372,Deposit,Money Market / Sweep,Non-Operating,187500.0,0.0294,0.0
DP00089,R442,Deposit,Analyzed DDA,Operating,382400.0,0.002,0.0
DP00090,R472,Deposit,Analyzed DDA,Operating,17757000.0,0.0108,0.0
DP00091,R257,Deposit,Money Market / Sweep,Non-Operating,1396200.0,0.0248,0.0
DP00092,R270,Deposit,Analyzed DDA,Operating,113100.0,0.0056,0.0
DP00093,R288,Deposit,Analyzed DDA,Operating,528200.0,0.0003,0.0
DP00094,R390,Deposit,Analyzed DDA,Operating,169700.0,0.0003,0.0
DP00095,R412,Deposit,Commercial CD,Time Deposit,314200.0,0.0396,2.0
DP00096,R362,Deposit,Commercial CD,Time Deposit,3572700.0,0.0358,2.0
DP00097,R012,Deposit,Analyzed DDA,Operating,3784000.0,0.0054,0.0
DP00098,R131,Deposit,Money Market / Sweep,Non-Operating,105800.0,0.0353,0.0
DP00099,R323,Deposit,Analyzed DDA,Operating,225000.0,0.0032,0.0
DP00100,R261,Deposit,Analyzed DDA,Operating,484100.0,0.0026,0.0
DP00101,R134,Deposit,Analyzed DDA,Operating,371300.0,0.0122,0.0
DP00102,R437,Deposit,Commercial CD,Time Deposit,661600.0,0.0367,1.0
DP00103,R008,Deposit,Money Market / Sweep,Non-Operating,1858100.0,0.0301,0.0
DP00104,R351,Deposit,Money Market / Sweep,Non-Operating,335400.0,0.0324,0.0
DP00105,R349,Deposit,Analyzed DDA,Operating,220400.0,0.0009,0.0
DP00106,R078,Deposit,Money Market / Sweep,Non-Operating,334900.0,0.0297,0.0
DP00107,R128,Deposit,Analyzed DDA,Operating,977800.0,0.0123,0.0
DP00108,R196,Deposit,Analyzed DDA,Operating,1952300.0,0.0105,0.0
DP00109,R313,Deposit,Commercial CD,Time Deposit,239900.0,0.0354,2.0
DP00110,R205,Deposit,Commercial CD,Time Deposit,1500700.0,0.0377,2.0
DP00111,R303,Deposit,Commercial CD,Time Deposit,1401300.0,0.0383,2.0
DP00112,R003,Deposit,Money Market / Sweep,Non-Operating,4026200.0,0.0311,0.0
DP00113,R319,Deposit,Money Market / Sweep,Non-Operating,373700.0,0.0261,0.0
DP00114,R381,Deposit,Analyzed DDA,Operating,2818500.0,0.0115,0.0
DP00115,R095,Deposit,Commercial CD,Time Deposit,7236900.0,0.036,0.5
DP00116,R188,Deposit,Analyzed DDA,Operating,106300.0,0.0098,0.0
DP00117,R458,Deposit,Analyzed DDA,Operating,4790200.0,0.0068,0.0
DP00118,R407,Deposit,Analyzed DDA,Operating,2711400.0,0.0021,0.0
DP00119,R070,Deposit,Money Market / Sweep,Non-Operating,2798000.0,0.0233,0.0
DP00120,R221,Deposit,Analyzed DDA,Operating,909700.0,0.0096,0.0
DP00121,R350,Deposit,Money Market / Sweep,Non-Operating,342300.0,0.0355,0.0
DP00122,R450,Deposit,Money Market / Sweep,Non-Operating,2675900.0,0.0347,0.0
DP00123,R461,Deposit,Analyzed DDA,Operating,1115300.0,0.0022,0.0
DP00124,R103,Deposit,Commercial CD,Time Deposit,2508100.0,0.0344,2.0
DP00125,R231,Deposit,Money Market / Sweep,Non-Operating,4985100.0,0.0228,0.0
DP00126,R169,Deposit,Analyzed DDA,Operating,529700.0,0.0026,0.0
DP00127,R039,Deposit,Analyzed DDA,Operating,1325200.0,0.0111,0.0
DP00128,R242,Deposit,Money Market / Sweep,Non-Operating,584900.0,0.0316,0.0
DP00129,R341,Deposit,Analyzed DDA,Operating,391400.0,0.0106,0.0
DP00130,R281,Deposit,Analyzed DDA,Operating,76800.0,0.0109,0.0
DP00131,R358,Deposit,Commercial CD,Time Deposit,1319900.0,0.0358,1.0
DP00132,R082,Deposit,Analyzed DDA,Operating,228200.0,0.0038,0.0
DP00133,R306,Deposit,Analyzed DDA,Operating,224100.0,0.0062,0.0
DP00134,R150,Deposit,Analyzed DDA,Operating,337800.0,0.0002,0.0
DP00135,R079,Deposit,Analyzed DDA,Operating,384200.0,0.0102,0.0
DP00136,R404,Deposit,Analyzed DDA,Operating,428300.0,0.01,0.0
DP00137,R001,Deposit,Analyzed DDA,Operating,10566000.0,0.0064,0.0
DP00138,R490,Deposit,Money Market / Sweep,Non-Operating,4669800.0,0.0226,0.0
DP00139,R247,Deposit,Money Market / Sweep,Non-Operating,1119600.0,0.0267,0.0
DP00140,R138,Deposit,Analyzed DDA,Operating,265900.0,0.0009,0.0
DP00141,R002,Deposit,Commercial CD,Time Deposit,3544900.0,0.0388,2.0
DP00142,R071,Deposit,Analyzed DDA,Operating,197900.0,0.0117,0.0
DP00143,R471,Deposit,Analyzed DDA,Operating,1410500.0,0.0009,0.0
DP00144,R460,Deposit,Money Market / Sweep,Non-Operating,563400.0,0.0313,0.0
DP00145,R386,Deposit,Money Market / Sweep,Non-Operating,12176400.0,0.0336,0.0
DP00146,R442,Deposit,Commercial CD,Time Deposit,549700.0,0.0393,0.5
DP00147,R305,Deposit,Money Market / Sweep,Non-Operating,282500.0,0.0333,0.0
DP00148,R148,Deposit,Commercial CD,Time Deposit,979700.0,0.0362,1.0
DP00149,R403,Deposit,Analyzed DDA,Operating,141100.0,0.0068,0.0
DP00150,R332,Deposit,Analyzed DDA,Operating,237400.0,0.0075,0.0
DP00151,R004,Deposit,Analyzed DDA,Operating,6157800.0,0.0054,0.0
DP00152,R145,Deposit,Money Market / Sweep,Non-Operating,1661400.0,0.0321,0.0
DP00153,R108,Deposit,Analyzed DDA,Operating,1380500.0,0.0002,0.0
DP00154,R127,Deposit,Analyzed DDA,Operating,94700.0,0.0033,0.0
DP00155,R004,Deposit,Commercial CD,Time Deposit,9134500.0,0.0385,0.5
DP00156,R447,Deposit,Money Market / Sweep,Non-Operating,280900.0,0.0245,0.0
DP00157,R055,Deposit,Analyzed DDA,Operating,150100.0,0.002,0.0
DP00158,R290,Deposit,Analyzed DDA,Operating,86300.0,0.0099,0.0
DP00159,R125,Deposit,Money Market / Sweep,Non-Operating,277500.0,0.0275,0.0
DP00160,R165,Deposit,Commercial CD,Time Deposit,2371800.0,0.041,2.0
DP00161,R166,Deposit,Money Market / Sweep,Non-Operating,1274800.0,0.0308,0.0
DP00162,R242,Deposit,Analyzed DDA,Operating,2479400.0,0.009,0.0
DP00163,R379,Deposit,Analyzed DDA,Operating,431600.0,0.001,0.0
DP00164,R349,Deposit,Analyzed DDA,Operating,538200.0,0.0093,0.0
DP00165,R303,Deposit,Commercial CD,Time Deposit,99700.0,0.0355,1.0
DP00166,R343,Deposit,Money Market / Sweep,Non-Operating,99700.0,0.0247,0.0
DP00167,R321,Deposit,Money Market / Sweep,Non-Operating,417700.0,0.0291,0.0
DP00168,R333,Deposit,Analyzed DDA,Operating,366400.0,0.0094,0.0
DP00169,R195,Deposit,Analyzed DDA,Operating,205200.0,0.0052,0.0
DP00170,R154,Deposit,Money Market / Sweep,Non-Operating,505100.0,0.0297,0.0
DP00171,R337,Deposit,Money Market / Sweep,Non-Operating,1726300.0,0.0284,0.0
DP00172,R094,Deposit,Analyzed DDA,Operating,488500.0,0.0023,0.0
DP00173,R407,Deposit,Money Market / Sweep,Non-Operating,124100.0,0.0246,0.0
DP00174,R080,Deposit,Analyzed DDA,Operating,234700.0,0.0025,0.0
DP00175,R007,Deposit,Money Market / Sweep,Non-Operating,4544100.0,0.023,0.0
DP00176,R372,Deposit,Money Market / Sweep,Non-Operating,773500.0,0.0339,0.0
DP00177,R426,Deposit,Analyzed DDA,Operating,1629800.0,0.0104,0.0
DP00178,R252,Deposit,Money Market / Sweep,Non-Operating,394400.0,0.0332,0.0
DP00179,R077,Deposit,Analyzed DDA,Operating,450800.0,0.0066,0.0
DP00180,R328,Deposit,Analyzed DDA,Operating,4825200.0,0.0072,0.0
DP00181,R400,Deposit,Commercial CD,Time Deposit,1387200.0,0.0394,2.0
