account_id,relationship_id,product,sub_type,balance,tenor_yrs,remaining_yrs,rate_type,spread,orig_fee_pct,rating,collateral,commitment
TL00001,R202,Term Loan,C&I Term,4105000.0,5.0,3.18,Floating,0.02,0.0075,4,Senior Secured,4105000.0
TL00002,R105,Term Loan,C&I Term,1669000.0,5.0,4.26,Floating,0.0277,0.01,8,Senior Secured,1669000.0
TL00003,R005,Term Loan,CRE Term,13356000.0,3.0,2.62,Floating,0.0239,0.01,6,Real Estate,13356000.0
TL00004,R030,Term Loan,C&I Term,1362000.0,10.0,6.7,Floating,0.0265,0.0075,8,Unsecured,1362000.0
TL00005,R258,Term Loan,CRE Term,853000.0,3.0,2.92,Floating,0.0232,0.0025,7,Real Estate,853000.0
TL00006,R222,Term Loan,CRE Term,1258000.0,3.0,2.33,Floating,0.0359,0.01,10,Real Estate,1258000.0
TL00007,R115,Term Loan,Equipment Finance,1464000.0,7.0,5.19,Fixed,0.0161,0.005,3,Senior Secured,1464000.0
TL00008,R218,Term Loan,C&I Term,2409000.0,7.0,3.42,Floating,0.0229,0.01,5,Senior Secured,2409000.0
TL00009,R205,Term Loan,CRE Term,1186000.0,5.0,1.01,Fixed,0.0262,0.005,7,Real Estate,1186000.0
TL00010,R053,Term Loan,CRE Term,1764000.0,5.0,1.96,Fixed,0.0269,0.0075,5,Real Estate,1764000.0
TL00011,R193,Term Loan,C&I Term,25761000.0,3.0,2.43,Floating,0.031,0.005,8,Senior Secured,25761000.0
TL00012,R488,Term Loan,CRE Term,3068000.0,3.0,2.3,Floating,0.0172,0.005,3,Real Estate,3068000.0
TL00013,R450,Term Loan,C&I Term,1636000.0,5.0,2.32,Fixed,0.0227,0.0025,5,Senior Secured,1636000.0
TL00014,R076,Term Loan,Equipment Finance,3358000.0,5.0,3.5,Fixed,0.0247,0.0075,5,Senior Secured,3358000.0
TL00015,R399,Term Loan,C&I Term,810000.0,5.0,1.78,Floating,0.0208,0.005,4,Senior Secured,810000.0
TL00016,R103,Term Loan,Equipment Finance,510000.0,3.0,1.23,Fixed,0.0233,0.01,5,Senior Secured,510000.0
TL00017,R151,Term Loan,CRE Term,955000.0,7.0,6.71,Fixed,0.038,0.005,10,Real Estate,955000.0
TL00018,R489,Term Loan,C&I Term,436000.0,7.0,3.71,Floating,0.0288,0.01,9,Unsecured,436000.0
TL00019,R213,Term Loan,CRE Term,3264000.0,3.0,1.19,Fixed,0.0233,0.005,7,Real Estate,3264000.0
TL00020,R308,Term Loan,C&I Term,1550000.0,3.0,1.77,Floating,0.0304,0.005,8,Senior Secured,1550000.0
TL00021,R083,Term Loan,CRE Term,8237000.0,5.0,2.55,Fixed,0.0245,0.0025,6,Real Estate,8237000.0
