account_id,relationship_id,product,sub_type,monthly_volume,unit_price,monthly_card_spend,monthly_revenue,ecr_offset_pct
PM00001,R316,Payments,Remote Deposit Capture,191,0.2,0.0,38.2,0.26
PM00002,R008,Payments,RTP / Instant,294,0.45,0.0,132.3,0.27
PM00003,R377,Payments,Wire Transfer,12,18.0,0.0,216.0,0.31
PM00004,R001,Payments,Commercial Card,0,0.0,1714500.0,21431.25,0.0
PM00005,R020,Payments,Wire Transfer,130,18.0,0.0,2340.0,0.34
PM00006,R212,Payments,Account Reconciliation,652,0.05,0.0,32.6,0.36
PM00007,R242,Payments,Account Reconciliation,570,0.05,0.0,28.5,0.06
PM00008,R012,Payments,Lockbox,450,0.65,0.0,292.5,0.35
PM00009,R056,Payments,Remote Deposit Capture,319,0.2,0.0,63.8,0.28
PM00010,R002,Payments,Positive Pay,27348,0.08,0.0,2187.84,0.2
PM00011,R381,Payments,Lockbox,128,0.65,0.0,83.2,0.35
PM00012,R367,Payments,Remote Deposit Capture,145,0.2,0.0,29.0,0.06
PM00013,R040,Payments,Positive Pay,1968,0.08,0.0,157.44,0.16
PM00014,R002,Payments,Wire Transfer,82,18.0,0.0,1476.0,0.4
PM00015,R003,Payments,Account Reconciliation,3045,0.05,0.0,152.25,0.06
PM00016,R276,Payments,Lockbox,591,0.65,0.0,384.15,0.42
PM00017,R003,Payments,RTP / Instant,541,0.45,0.0,243.45,0.28
PM00018,R140,Payments,Account Reconciliation,1698,0.05,0.0,84.9,0.0
PM00019,R004,Payments,Account Reconciliation,1256,0.05,0.0,62.8,0.07
PM00020,R496,Payments,Lockbox,1030,0.65,0.0,669.5,0.02
PM00021,R008,Payments,Remote Deposit Capture,1362,0.2,0.0,272.4,0.35
PM00022,R188,Payments,Remote Deposit Capture,227,0.2,0.0,45.4,0.11
PM00023,R049,Payments,Wire Transfer,14,18.0,0.0,252.0,0.26
PM00024,R285,Payments,Positive Pay,712,0.08,0.0,56.96,0.38
PM00025,R051,Payments,Commercial Card,0,0.0,82700.0,1033.75,0.0
PM00026,R003,Payments,Lockbox,620,0.65,0.0,403.0,0.38
PM00027,R009,Payments,Positive Pay,1940,0.08,0.0,155.2,0.23
PM00028,R178,Payments,Remote Deposit Capture,546,0.2,0.0,109.2,0.06
