relationship_id,name,industry,rating,lending_weight,deposit_weight,payments_weight,ird_trades,segment
R001,Northwind Manufacturing Group,Industrial Manufacturing,4,1.6,1.2,1.4,3,Key Relationship
R002,Harborview Health Partners,Healthcare,3,1.2,1.8,1.6,2,Key Relationship
R003,Cascade Logistics Holdings,Transportation & Logistics,5,1.4,1.0,1.8,3,Key Relationship
R004,Summit Ridge Software,Technology,4,0.5,2.6,1.5,0,Key Relationship
R005,Keystone Commercial Properties,Commercial Real Estate,5,2.4,0.4,0.3,4,Key Relationship
R006,Prairie Harvest Foods,Food Distribution,5,1.0,1.1,1.3,2,Key Relationship
R007,Blue Mesa Energy Services,Energy,7,1.8,0.25,0.3,3,Key Relationship
R008,Lakeshore Retail Brands,Retail,6,1.1,0.9,1.9,1,Key Relationship
R009,Aurora Aerospace Components,Aerospace & Defense,4,1.3,1.0,0.8,1,Key Relationship
R010,Greenfield Agri Cooperative,Agriculture,5,1.0,0.8,0.7,1,Key Relationship
R011,Client 011,Healthcare,7,1.0,1.0,1.0,0,Business Banking
R012,Client 012,Construction,6,1.0,1.0,1.0,0,Middle Market
R013,Client 013,Retail,5,1.0,1.0,1.0,0,Business Banking
R014,Client 014,Food Distribution,5,1.0,1.0,1.0,0,Business Banking
R015,Client 015,Food Distribution,5,1.0,1.0,1.0,0,Business Banking
R016,Client 016,Wholesale Trade,6,1.0,1.0,1.0,0,Middle Market
R017,Client 017,Healthcare,7,1.0,1.0,1.0,0,Middle Market
R018,Client 018,Professional Services,5,1.0,1.0,1.0,0,Business Banking
R019,Client 019,Transportation & Logistics,4,1.0,1.0,1.0,0,Middle Market
R020,Client 020,Healthcare,4,1.0,1.0,1.0,0,Business Banking
R021,Client 021,Energy,6,1.0,1.0,1.0,0,Business Banking
R022,Client 022,Education,7,1.0,1.0,1.0,0,Business Banking
R023,Client 023,Professional Services,3,1.0,1.0,1.0,0,Business Banking
R024,Client 024,Construction,3,1.0,1.0,1.0,0,Business Banking
R025,Client 025,Professional Services,6,1.0,1.0,1.0,0,Business Banking
R026,Client 026,Construction,4,1.0,1.0,1.0,0,Middle Market
R027,Client 027,Energy,7,1.0,1.0,1.0,0,Business Banking
R028,Client 028,Healthcare,4,1.0,1.0,1.0,0,Middle Market
R029,Client 029,Wholesale Trade,4,1.0,1.0,1.0,0,Business Banking
R030,Client 030,Food Distribution,8,1.0,1.0,1.0,0,Business Banking
R031,Client 031,Energy,4,1.0,1.0,1.0,0,Middle Market
R032,Client 032,Commercial Real Estate,4,1.0,1.0,1.0,0,Business Banking
R033,Client 033,Transportation & Logistics,4,1.0,1.0,1.0,0,Business Banking
R034,Client 034,Education,3,1.0,1.0,1.0,0,Middle Market
R035,Client 035,Construction,2,1.0,1.0,1.0,0,Business Banking
R036,Client 036,Retail,3,1.0,1.0,1.0,0,Business Banking
R037,Client 037,Commercial Real Estate,4,1.0,1.0,1.0,0,Middle Market
R038,Client 038,Construction,3,1.0,1.0,1.0,0,Middle Market
R039,Client 039,Energy,6,1.0,1.0,1.0,0,Middle Market
R040,Client 040,Food Distribution,6,1.0,1.0,1.0,0,Business Banking
R041,Client 041,Food Distribution,5,1.0,1.0,1.0,0,Middle Market
R042,Client 042,Transportation & Logistics,4,1.0,1.0,1.0,0,Middle Market
R043,Client 043,Healthcare,5,1.0,1.0,1.0,0,Middle Market
R044,Client 044,Energy,7,1.0,1.0,1.0,0,Middle Market
R045,Client 045,Wholesale Trade,7,1.0,1.0,1.0,0,Business Banking
R046,Client 046,Industrial Manufacturing,3,1.0,1.0,1.0,0,Middle Market
R047,Client 047,Wholesale Trade,4,1.0,1.0,1.0,0,Business Banking
R048,Client 048,Construction,4,1.0,1.0,1.0,0,Business Banking
R049,Client 049,Technology,4,1.0,1.0,1.0,0,Business Banking
R050,Client 050,Retail,5,1.0,1.0,1.0,0,Middle Market
R051,Client 051,Healthcare,5,1.0,1.0,1.0,0,Business Banking
R052,Client 052,Construction,3,1.0,1.0,1.0,0,Business Banking
R053,Client 053,Professional Services,5,1.0,1.0,1.0,0,Middle Market
R054,Client 054,Commercial Real Estate,5,1.0,1.0,1.0,0,Business Banking
R055,Client 055,Industrial Manufacturing,3,1.0,1.0,1.0,0,Business Banking
R056,Client 056,Education,7,1.0,1.0,1.0,0,Middle Market
R057,Client 057,Food Distribution,3,1.0,1.0,1.0,0,Business Banking
R058,Client 058,Wholesale Trade,8,1.0,1.0,1.0,0,Business Banking
R059,Client 059,Professional Services,3,1.0,1.0,1.0,0,Business Banking
R060,Client 060,Construction,7,1.0,1.0,1.0,0,Business Banking
R061,Client 061,Construction,7,1.0,1.0,1.0,0,Business Banking
R062,Client 062,Transportation & Logistics,9,1.0,1.0,1.0,0,Business Banking
R063,Client 063,Commercial Real Estate,7,1.0,1.0,1.0,0,Business Banking
R064,Client 064,Food Distribution,6,1.0,1.0,1.0,0,Business Banking
R065,Client 065,Food Distribution,6,1.0,1.0,1.0,0,Business Banking
R066,Client 066,Industrial Manufacturing,6,1.0,1.0,1.0,0,Middle Market
R067,Client 067,Energy,3,1.0,1.0,1.0,0,Business Banking
R068,Client 068,Healthcare,5,1.0,1.0,1.0,0,Business Banking
R069,Client 069,Professional Services,5,1.0,1.0,1.0,0,Middle Market
R070,Client 070,Professional Services,7,1.0,1.0,1.0,0,Middle Market
R071,Client 071,Education,5,1.0,1.0,1.0,0,Business Banking
R072,Client 072,Professional Services,5,1.0,1.0,1.0,0,Middle Market
R073,Client 073,Commercial Real Estate,6,1.0,1.0,1.0,0,Middle Market
R074,Client 074,Education,4,1.0,1.0,1.0,0,Business Banking
R075,Client 075,Commercial Real Estate,3,1.0,1.0,1.0,0,Business Banking
R076,Client 076,Technology,5,1.0,1.0,1.0,0,Business Banking
R077,Client 077,Wholesale Trade,5,1.0,1.0,1.0,0,Business Banking
R078,Client 078,Commercial Real Estate,4,1.0,1.0,1.0,0,Business Banking
R079,Client 079,Industrial Manufacturing,5,1.0,1.0,1.0,0,Business Banking
R080,Client 080,Food Distribution,5,1.0,1.0,1.0,0,Middle Market
R081,Client 081,Construction,4,1.0,1.0,1.0,0,Middle Market
R082,Client 082,Transportation & Logistics,5,1.0,1.0,1.0,0,Business Banking
R083,Client 083,Food Distribution,6,1.0,1.0,1.0,0,Middle Market
R084,Client 084,Healthcare,4,1.0,1.0,1.0,0,Business Banking
R085,Client 085,Professional Services,8,1.0,1.0,1.0,0,Business Banking
R086,Client 086,Food Distribution,8,1.0,1.0,1.0,0,Middle Market
R087,Client 087,Technology,5,1.0,1.0,1.0,0,Middle Market
R088,Client 088,Transportation & Logistics,4,1.0,1.0,1.0,0,Business Banking
R089,Client 089,Energy,5,1.0,1.0,1.0,0,Business Banking
R090,Client 090,Professional Services,7,1.0,1.0,1.0,0,Middle Market
R091,Client 091,Education,6,1.0,1.0,1.0,0,Business Banking
R092,Client 092,Food Distribution,7,1.0,1.0,1.0,0,Business Banking
R093,Client 093,Healthcare,5,1.0,1.0,1.0,0,Business Banking
R094,Client 094,Construction,6,1.0,1.0,1.0,0,Business Banking
R095,Client 095,Retail,4,1.0,1.0,1.0,0,Middle Market
R096,Client 096,Professional Services,6,1.0,1.0,1.0,0,Middle Market
R097,Client 097,Healthcare,4,1.0,1.0,1.0,0,Business Banking
R098,Client 098,Technology,6,1.0,1.0,1.0,0,Middle Market
R099,Client 099,Construction,7,1.0,1.0,1.0,0,Business Banking
R100,Client 100,Construction,3,1.0,1.0,1.0,0,Business Banking
R101,Client 101,Food Distribution,6,1.0,1.0,1.0,0,Middle Market
R102,Client 102,Construction,3,1.0,1.0,1.0,0,Business Banking
R103,Client 103,Wholesale Trade,6,1.0,1.0,1.0,0,Middle Market
R104,Client 104,Commercial Real Estate,3,1.0,1.0,1.0,0,Business Banking
R105,Client 105,Wholesale Trade,8,1.0,1.0,1.0,0,Middle Market
R106,Client 106,Technology,3,1.0,1.0,1.0,0,Business Banking
R107,Client 107,Transportation & Logistics,8,1.0,1.0,1.0,0,Business Banking
R108,Client 108,Professional Services,7,1.0,1.0,1.0,0,Business Banking
R109,Client 109,Retail,6,1.0,1.0,1.0,0,Business Banking
R110,Client 110,Healthcare,6,1.0,1.0,1.0,0,Business Banking
R111,Client 111,Construction,7,1.0,1.0,1.0,0,Business Banking
R112,Client 112,Transportation & Logistics,8,1.0,1.0,1.0,0,Business Banking
R113,Client 113,Construction,4,1.0,1.0,1.0,0,Business Banking
R114,Client 114,Industrial Manufacturing,6,1.0,1.0,1.0,0,Business Banking
R115,Client 115,Construction,3,1.0,1.0,1.0,0,Business Banking
R116,Client 116,Construction,6,1.0,1.0,1.0,0,Middle Market
R117,Client 117,Construction,4,1.0,1.0,1.0,0,Business Banking
R118,Client 118,Retail,5,1.0,1.0,1.0,0,Business Banking
R119,Client 119,Food Distribution,5,1.0,1.0,1.0,0,Business Banking
R120,Client 120,Professional Services,5,1.0,1.0,1.0,0,Middle Market
R121,Client 121,Technology,5,1.0,1.0,1.0,0,Business Banking
R122,Client 122,Construction,6,1.0,1.0,1.0,0,Business Banking
R123,Client 123,Energy,7,1.0,1.0,1.0,0,Business Banking
R124,Client 124,Food Distribution,5,1.0,1.0,1.0,0,Middle Market
R125,Client 125,Energy,6,1.0,1.0,1.0,0,Business Banking
R126,Client 126,Energy,8,1.0,1.0,1.0,0,Middle Market
R127,Client 127,Industrial Manufacturing,3,1.0,1.0,1.0,0,Middle Market
R128,Client 128,Healthcare,3,1.0,1.0,1.0,0,Business Banking
R129,Client 129,Transportation & Logistics,3,1.0,1.0,1.0,0,Business Banking
R130,Client 130,Healthcare,6,1.0,1.0,1.0,0,Middle Market
R131,Client 131,Food Distribution,5,1.0,1.0,1.0,0,Business Banking
R132,Client 132,Professional Services,6,1.0,1.0,1.0,0,Business Banking
R133,Client 133,Retail,6,1.0,1.0,1.0,0,Business Banking
R134,Client 134,Food Distribution,4,1.0,1.0,1.0,0,Business Banking
R135,Client 135,Wholesale Trade,7,1.0,1.0,1.0,0,Business Banking
R136,Client 136,Energy,6,1.0,1.0,1.0,0,Business Banking
R137,Client 137,Industrial Manufacturing,4,1.0,1.0,1.0,0,Business Banking
R138,Client 138,Construction,5,1.0,1.0,1.0,0,Business Banking
R139,Client 139,Energy,4,1.0,1.0,1.0,0,Business Banking
R140,Client 140,Retail,4,1.0,1.0,1.0,0,Middle Market
R141,Client 141,Energy,4,1.0,1.0,1.0,0,Business Banking
R142,Client 142,Energy,8,1.0,1.0,1.0,0,Business Banking
