account_id,relationship_id,product,sub_type,commitment,utilization,balance,tenor_yrs,rate_type,spread,unused_fee,orig_fee_pct,rating,collateral,remaining_yrs
RV00001,R395,Revolver,ABL Revolver,4635000.0,0.323,1495600.0,1.0,Floating,0.0277,0.002,0.005,7,Unsecured,0.9
RV00002,R220,Revolver,Working Capital Line,698000.0,0.613,427700.0,3.0,Floating,0.0154,0.0035,0.0025,3,Unsecured,0.62
RV00003,R178,Revolver,Working Capital Line,390000.0,0.506,197500.0,1.0,Floating,0.0173,0.0025,0.001,3,Unsecured,0.77
RV00004,R399,Revolver,Working Capital Line,9280000.0,0.352,3268600.0,3.0,Floating,0.0186,0.0025,0.005,5,Unsecured,1.96
RV00005,R242,Revolver,Working Capital Line,1320000.0,0.302,398300.0,5.0,Floating,0.0158,0.0015,0.001,5,Senior Secured,4.35
RV00006,R082,Revolver,Corporate RCF,783000.0,0.176,137700.0,1.0,Floating,0.0215,0.002,0.005,5,Senior Secured,0.36
RV00007,R068,Revolver,Corporate RCF,595000.0,0.321,191200.0,1.0,Floating,0.0199,0.0035,0.001,6,Senior Secured,0.62
RV00008,R201,Revolver,Working Capital Line,1128000.0,0.816,920400.0,3.0,Floating,0.0233,0.0035,0.001,5,Unsecured,0.91
RV00009,R202,Revolver,Working Capital Line,15128000.0,0.799,12080100.0,5.0,Floating,0.014,0.0015,0.005,3,Senior Secured,3.64
RV00010,R072,Revolver,ABL Revolver,2770000.0,0.435,1205700.0,3.0,Floating,0.0158,0.002,0.001,4,Senior Secured,2.43
RV00011,R267,Revolver,Working Capital Line,184000.0,0.423,77900.0,2.0,Floating,0.0289,0.0025,0.005,6,Senior Secured,1.4
RV00012,R425,Revolver,Working Capital Line,1184000.0,0.353,417400.0,3.0,Floating,0.0179,0.002,0.001,4,Unsecured,1.93
RV00013,R176,Revolver,ABL Revolver,2610000.0,0.224,585700.0,1.0,Floating,0.0231,0.0035,0.0025,6,Senior Secured,0.47
RV00014,R230,Revolver,ABL Revolver,1015000.0,0.397,403300.0,5.0,Floating,0.025,0.002,0.005,6,Senior Secured,3.56
RV00015,R164,Revolver,Corporate RCF,1174000.0,0.178,208400.0,5.0,Floating,0.0223,0.002,0.005,5,Senior Secured,4.6
RV00016,R124,Revolver,ABL Revolver,1084000.0,0.582,630700.0,5.0,Floating,0.023,0.0035,0.001,5,Senior Secured,3.89
RV00017,R292,Revolver,Working Capital Line,386000.0,0.436,168300.0,5.0,Floating,0.0264,0.0025,0.005,8,Senior Secured,1.09
RV00018,R395,Revolver,ABL Revolver,3467000.0,0.41,1420900.0,5.0,Floating,0.0302,0.0015,0.0025,8,Senior Secured,3.03
RV00019,R058,Revolver,Working Capital Line,826000.0,0.941,777500.0,1.0,Floating,0.0285,0.0015,0.001,8,Unsecured,0.79
RV00020,R343,Revolver,ABL Revolver,195000.0,0.148,28800.0,5.0,Floating,0.0189,0.0035,0.001,5,Senior Secured,3.02
RV00021,R355,Revolver,Working Capital Line,1245000.0,0.422,525300.0,1.0,Floating,0.0124,0.0025,0.001,2,Unsecured,0.67
RV00022,R037,Revolver,ABL Revolver,3002000.0,0.588,1763700.0,2.0,Floating,0.0171,0.0035,0.0025,5,Senior Secured,1.86
RV00023,R207,Revolver,ABL Revolver,588000.0,0.706,415200.0,2.0,Floating,0.0197,0.0035,0.005,4,Senior Secured,1.8
RV00024,R100,Revolver,ABL Revolver,352000.0,0.24,84600.0,1.0,Floating,0.0145,0.0025,0.0025,3,Unsecured,0.27
RV00025,R148,Revolver,Working Capital Line,338000.0,0.236,79900.0,2.0,Floating,0.0225,0.0035,0.001,6,Unsecured,1.22
RV00026,R272,Revolver,Working Capital Line,2343000.0,0.146,341300.0,3.0,Floating,0.0148,0.0035,0.0025,3,Senior Secured,2.09
RV00027,R138,Revolver,ABL Revolver,1101000.0,0.508,558900.0,1.0,Floating,0.0232,0.002,0.0025,6,Senior Secured,0.88
RV00028,R006,Revolver,Working Capital Line,11299000.0,0.351,3962300.0,2.0,Floating,0.0168,0.0025,0.0025,4,Senior Secured,0.82
RV00029,R220,Revolver,Working Capital Line,1099000.0,0.646,709600.0,2.0,Floating,0.0129,0.0035,0.001,3,Senior Secured,0.62
