account_id,relationship_id,product,sub_type,exposure,ead,pd_ttc,pd_pit,lgd,nii,fee_revenue,total_revenue,opex,expected_loss,el_lifetime,credit_capital,op_capital,economic_capital,rwa,reg_capital,capital,net_income,raroc,eva,all_in_rate
TL00001,R202,Term Loan,C&I Term,4105000.0,4105000.0,0.0025,0.0038557500454607127,0.3,75573.05,6157.5,81730.55,18472.5,3078.75,15036.40804868508,130388.89171827241,12259.5825,142648.4742182724,1947220.2531330576,204458.12657897105,142648.4742182724,49910.16235562666,0.3498822025902431,32792.34544943397,0.0615
TL00002,R105,Term Loan,C&I Term,1669000.0,1669000.0,0.03,0.030000000000000013,0.3,42676.33,3338.0,46014.33,7510.499999999999,15020.999999999998,60930.42548562867,141763.93645568844,6902.1495,148666.08595568844,2052825.0082950112,215546.62587097616,148666.08595568844,22196.920475063445,0.14930722317986822,4356.990160380832,0.0692
TL00003,R005,Term Loan,CRE Term,13356000.0,13356000.0,0.009,0.01601773139454083,0.35,301712.04000000004,44520.0,346232.04000000004,60101.99999999999,42071.399999999994,193639.57128032792,795760.7805550883,51934.806000000004,847695.5865550883,11297509.575604634,1186238.5054384866,847695.5865550883,210288.1392626019,0.2480703481271884,108564.66887599132,0.0654
TL00004,R030,Term Loan,C&I Term,1362000.0,1362000.0,0.03,0.02748552882377894,0.45,32688.0,1021.5,33709.5,6128.999999999999,18387.0,104397.24927535003,184122.02451864543,5056.425,189178.44951864542,2434114.567405945,255582.02957762423,189178.44951864542,12522.421432915566,0.06619369946618237,-10178.992509321884,0.068
TL00005,R258,Term Loan,CRE Term,853000.0,853000.0,0.016,0.026440443391200785,0.35,18544.219999999998,710.8333333333334,19255.05333333333,3838.4999999999995,4776.8,22469.555013752066,63607.45377713727,2888.2579999999994,66495.71177713727,890412.1089221423,93493.27143682494,66495.71177713727,10031.877059932369,0.15086502259806706,2052.3916466758965,0.06470000000000001
TL00006,R222,Term Loan,CRE Term,1258000.0,1258000.0,0.15,0.1344207093518332,0.35,43696.630000000005,4193.333333333333,47889.96333333334,5661.0,66045.0,125761.6076243772,182264.66836719887,7183.494500000001,189448.16286719887,2540514.0785449445,266753.9782472192,189448.16286719887,-12556.93462117242,-0.06628163837078059,-35290.714165236284,0.0774
TL00007,R115,Term Loan,Equipment Finance,1464000.0,1464000.0,0.0012,0.0019209553210160647,0.3,19910.399999999998,1045.7142857142858,20956.114285714284,6587.999999999999,527.04,4361.132003249334,43446.32167340178,3143.4171428571426,46589.73881625892,639409.4275500742,67137.98989275779,46589.73881625892,11882.432214906592,0.25504397570822723,6291.663556955522,0.05159999999999999
TL00008,R218,Term Loan,C&I Term,2409000.0,2409000.0,0.005,0.00381258013092971,0.3,51046.71,3441.4285714285716,54488.13857142857,10840.5,3613.5,9379.909311180776,109376.50191369055,8173.220785714286,117549.72269940484,1612315.3321210516,169293.10987271043,117549.72269940484,33865.4502004703,0.28809468387322507,19759.48347654172,0.0644
TL00009,R205,Term Loan,CRE Term,1186000.0,1186000.0,0.016,0.012946329388128954,0.35,30474.270000000004,1186.0,31660.270000000004,5337.0,6641.6,5427.408683555273,69285.98798812614,4749.0405,74035.02848812615,985932.695135671,103522.93298924544,74035.02848812615,17124.334133562577,0.23130043282564555,8240.13071498744,0.060700000000000004
TL00010,R053,Term Loan,CRE Term,1764000.0,1764000.0,0.005,0.00381258013092971,0.35,45722.88,2646.0,48368.88,7937.999999999999,3086.9999999999995,4605.174937885451,73682.72556903055,7255.331999999999,80938.05756903054,1070547.109715306,112407.44652010713,80938.05756903054,30749.596364469835,0.3799151757286007,21037.02945618617,0.0614
