relationship_id,name,industry,segment,rating,total_revenue,opex,expected_loss,el_lifetime,economic_capital,rwa,reg_capital,capital,net_income,eva,raroc,lending_raroc,lending_net_income,lending_capital,n_deposit,n_interest_rate_derivative,n_payments,n_revolver,n_term_loan,exp_deposit,exp_interest_rate_derivative,exp_payments,exp_revolver,exp_term_loan,ancillary_uplift,meets_hurdle
R004,Summit Ridge Software,Technology,Key Relationship,4,11663137.945195239,3022989.504,168434.70690000002,162546.60632806603,7880933.77962888,80870413.34496672,8491393.401221504,7880933.77962888,6669098.5604563225,5723386.506900858,0.8462320261711901,0.21389217166229307,1076889.1911017199,5034729.334563879,69,0,52,11,8,348074900.0,0.0,3273680.28,106020000.0,73174000.0,0.632339854508897,True
R001,Northwind Manufacturing Group,Industrial Manufacturing,Key Relationship,4,12918752.07786905,3393762.748,435996.8298,1447665.380688695,19077898.20240585,244501645.79258022,25672672.80822093,19077898.20240585,7465853.601454872,5176505.81716617,0.39133522583286334,0.21407184699292758,3725943.759514748,17405108.66726835,32,3,45,20,19,190677900.0,145900000.0,1665234.36,163310000.0,343396000.0,0.17726337883993576,True
R006,Prairie Harvest Foods,Food Distribution,Key Relationship,5,12685578.341335716,3409894.1739999996,609414.9477749999,1310644.4726177813,17987389.4704802,222014669.14531645,23311540.26025824,17987389.4704802,7112675.622772395,4954188.886314769,0.39542567499554515,0.20137679459232305,3231327.986937641,16046178.475922702,25,2,45,16,15,220601000.0,228400000.0,3054976.68,89971000.0,229746000.0,0.1940488804032221,True
R002,Harborview Health Partners,Healthcare,Key Relationship,3,12287768.217921428,4055446.784,278351.98140000005,648681.4100252577,15876813.921451535,190873990.05441323,20041768.955713388,15876813.921451535,6509572.359257957,4604354.688683774,0.4100049538568139,0.16245265440829482,2216064.5578957484,13641294.849674037,44,2,64,19,15,259434700.0,107400000.0,3630545.88,175641000.0,223278000.0,0.2475522994485191,True
R008,Lakeshore Retail Brands,Retail,Key Relationship,6,12314382.708600001,3596279.5400000005,972561.2620000001,3814646.1860432257,19470772.87382552,245163484.69257057,25742165.892719906,19470772.87382552,6456326.663304134,4119833.918445072,0.3315906720879759,0.1363215275912346,2381456.8317628666,17469411.279660523,38,1,65,15,10,212873800.0,56300000.0,3713158.8,140498000.0,159553000.0,0.1952691444967413,True
R010,Greenfield Agri Cooperative,Agriculture,Key Relationship,5,8722656.577521428,1740882.8239999998,530873.0234,1771433.235440423,15065509.203293055,190660116.6623229,20019312.24954391,15065509.203293055,5343501.354180641,3535640.2497854736,0.3546844173718765,0.17706579336215253,2410797.7768726083,13615265.439450553,29,1,28,10,15,198439500.0,58000000.0,497164.68,92618000.0,182360000.0,0.17761862400972397,True
R005,Keystone Commercial Properties,Commercial Real Estate,Key Relationship,5,14601925.91239762,3723117.2159999995,1647957.503725,7447770.178892784,39949423.9879277,528943515.47114176,55539069.12446989,39949423.9879277,8184367.052317955,3390436.173766632,0.20486821173669953,0.18553963973456966,7329584.371958557,39504142.52417518,15,4,12,40,35,61349600.0,362900000.0,239565.12,357457000.0,477385000.0,0.019328572002129868,True
R003,Cascade Logistics Holdings,Transportation & Logistics,Key Relationship,5,8443482.331892857,2470217.2460000007,516984.11734999996,1750670.1942770414,13315519.609080058,169290710.8417446,17775524.63838318,13315519.609080058,4536385.639854255,2938523.286764648,0.34068408691770646,0.15489393325574927,1863624.774284823,12031618.896317555,23,3,61,21,9,137871800.0,233600000.0,2168823.72,152542000.0,102591000.0,0.1857901536619572,True
R009,Aurora Aerospace Components,Aerospace & Defense,Key Relationship,4,8116012.150354763,2324867.1440000003,383512.78589999996,778330.2873606549,15545825.452609822,198763875.87150636,20870206.96650817,15545825.452609822,4564671.340288983,2699172.2859758046,0.2936268231110667,0.1602034294325936,2312968.451850225,14437696.246842321,18,1,16,20,12,145695000.0,61700000.0,655282.08,262325000.0,178396000.0,0.13342339367847308,True
R344,Client 344,Construction,Middle Market,7,1681204.3594833333,218887.358,157945.9353,407332.350863089,2374794.4144745115,30617742.999779884,3214863.014976887,2374794.4144745115,1060808.494866857,775833.1651299163,0.44669487531264473,0.2200484215770961,470267.90114124015,2137110.994802011,8,0,5,1,1,28714800.0,0.0,14197.560000000001,13483000.0,26848000.0,0.22664645373554865,True
R368,Client 368,Wholesale Trade,Middle Market,7,1411414.8732999999,158852.386,93089.13509999998,172382.60341503145,1480052.4200242355,17550860.91611148,1842840.396191705,1480052.4200242355,924506.0814819093,746899.7910790008,0.6246441470409343,0.1417503073792462,164633.83119229545,1161435.4440292355,1,0,5,5,2,40090200.0,0.0,13226.52,15527000.0,8244000.0,0.4828938396616881,True
R315,Client 315,Energy,Middle Market,5,1377287.1278333333,224760.95,56379.003749999996,211892.049734667,1494166.5055744897,18064024.70779028,1896722.5943179792,1494166.5055744897,876791.164256443,697491.1835875042,0.5868095429694611,0.22776433262045528,285170.1099393674,1252040.2411494895,5,0,7,3,3,27735400.0,0.0,115017.0,12397000.0,17002000.0,0.35904521034900583,True
R116,Client 116,Construction,Middle Market,6,1350339.4625,203719.79999999996,101345.26125,389890.76395980676,2257880.1381993145,29551376.56791697,3102894.539631281,2257880.1381993145,860474.117793712,589528.5012097943,0.3810982271538781,0.21359839958481258,447247.90562304447,2093872.9245743142,5,0,3,6,4,19498300.0,0.0,12207.0,13785000.0,26558000.0,0.1674998275690655,True
R496,Client 496,Transportation & Logistics,Middle Market,4,884973.1245833334,112338.97,13257.89625,28542.777938949148,635292.5031351903,7108061.655763084,746346.4738551239,635292.5031351903,595714.614975069,519479.51459884614,0.9377013140170817,0.2661978206838589,121492.88392976274,456400.74594769045,5,0,4,5,2,20189300.0,0.0,12356.4,16586000.0,3824000.0,0.6715034933332228,True
R019,Client 019,Transportation & Logistics,Middle Market,4,920669.5774000001,160947.434,21576.980399999997,75860.120294381,1067318.8486362624,12797276.218612302,1343714.0029542916,1067318.8486362624,592220.0733910971,464141.81155474565,0.5548670616543409,0.1865915717044628,163260.30301984842,874960.7580262622,5,0,4,7,2,25573400.0,0.0,9107.880000000001,20878000.0,9890000.0,0.368275489949878,True
R140,Client 140,Retail,Middle Market,4,820756.31485,129360.288,13580.6258,36568.33115574726,621645.95175024,7085464.057744493,743973.7260631719,621645.95175024,533329.0653462121,458731.55113618326,0.8579305693934428,0.39013326660958864,184202.92385166537,472153.8500227401,5,0,7,0,2,18215800.0,0.0,53900.16,0.0,16087000.0,0.4677973027838542,True
R096,Client 096,Professional Services,Middle Market,6,1929200.3908476192,402170.65599999996,336544.89959999995,516037.595733681,5497371.20769893,72556191.59360072,7618400.117328075,5497371.20769893,1065621.5563254612,405937.01140158955,0.19384202304422976,0.19225737482172525,1054788.776476828,5486337.142878931,2,0,5,5,5,1343300.0,0.0,36634.92,17753000.0,70638000.0,0.0015846482225045089,True
R160,Client 160,Industrial Manufacturing,Middle Market,2,685887.3515833335,104298.83,5145.174,5931.897996096102,369211.93502644956,3755872.4785859054,394366.61025152006,369211.93502644956,448900.0853822073,404594.65317903337,1.2158330833754034,0.6450993589309175,162437.526362408,251802.33728894952,2,0,3,2,1,14125100.0,0.0,22467.6,3937000.0,12661000.0,0.5707337244444859,True
R376,Client 376,Energy,Middle Market,5,955199.0090000001,199221.6,50253.67625,544908.0633220004,1470812.8677249984,19079567.738629628,2003354.6125561108,1470812.8677249984,579386.0213996334,402888.4772726337,0.3939223228960509,0.23517501652991335,318863.4044447874,1355855.7756249981,4,0,2,1,3,12656100.0,0.0,128889.0,1536000.0,23105000.0,0.15874730636613754,True
R246,Client 246,Professional Services,Middle Market,5,781469.21775,123130.79600000002,35289.0111,29846.090860301614,877044.5468498236,11083831.156957598,1163802.2714805475,877044.5468498236,499179.8755348259,393934.5299128471,0.5691613696565182,0.38565207821645736,302827.63338916306,785235.3208873235,5,0,3,4,2,12545200.0,0.0,6042.72,10759000.0,14074000.0,0.18350929144006084,True
R472,Client 472,Healthcare,Middle Market,7,640174.52575,58981.78,19879.458,32295.719177719988,378295.68912519136,3513172.356766436,368883.0974604757,378295.68912519136,437667.0305538032,392271.5478587802,1.1569442717306877,0.10085336241670537,19143.167006676347,189811.8867626913,4,0,2,3,0,24959200.0,0.0,18213.6,3293000.0,0.0,1.0560909093139823,True
R275,Client 275,Education,Middle Market,3,835196.3245142857,205487.89800000004,14638.6138,27207.952269448877,899396.4552751691,10920706.42717928,1146674.1748538243,899396.4552751691,493769.3979442087,385841.8233111883,0.5490008272193386,0.3318603234739385,257998.8678382854,777432.0989551691,4,0,7,4,5,17474100.0,0.0,27711.36,13494000.0,25957000.0,0.21714050374540012,True
R196,Client 196,Food Distribution,Middle Market,8,990481.8326285713,154212.652,170698.87319999994,292181.2631875461,1555147.835564391,20090975.829331074,2109552.462079763,1555147.835564391,551337.0593143284,364719.3190466015,0.3545238894373269,0.1909840774183914,273777.11559782655,1433507.5431343908,3,0,3,2,2,14216800.0,0.0,90032.64,3701000.0,15648000.0,0.16353981201893547,True
R325,Client 325,Transportation & Logistics,Middle Market,5,782172.9213166666,151460.694,39269.73165,70722.75515388047,1047673.7478724337,13006570.086195322,1365689.8590505088,1047673.7478724337,480151.23056941404,354430.38082472206,0.4583022448968321,0.3019436258882625,280543.1382198982,929124.2277249338,10,0,5,4,2,18500500.0,0.0,18418.08,12654000.0,15398000.0,0.15635861900856957,True
R028,Client 028,Healthcare,Middle Market,4,751960.3215,165364.20999999996,24079.78725,45986.23702646031,1041831.7193403271,13651344.181819832,1433391.1390910824,1041831.7193403271,457996.402537898,332976.5962170587,0.43960689047545487,0.3365353366878479,329650.1031464895,979540.8303653272,4,0,2,1,3,8526700.0,0.0,15541.2,1004000.0,31225000.0,0.10307155378760696,True
R372,Client 372,Wholesale Trade,Middle Market,7,1686838.8946500001,279649.44200000004,469996.61970000004,723436.9898165843,4180123.373253862,56842519.645262025,5968464.562752512,4180123.373253862,834576.9629434077,332962.1581529444,0.19965366770831988,0.16950758455839504,699149.691038039,4124592.376556362,5,0,2,6,2,6743700.0,0.0,7573.44,30475000.0,35268000.0,0.03014608314992484,True
R202,Client 202,Retail,Middle Market,3,766493.3214,213136.35400000002,17172.807899999996,61236.76099201609,909198.4542167021,11521970.12779735,1209806.8634187218,909198.4542167021,434103.1079903807,324999.29348437657,0.4774569358065745,0.25091393511565485,204412.40184631114,814671.3802567022,4,0,3,7,1,9521800.0,0.0,114230.28,33587000.0,4105000.0,0.22654300069091965,True
R042,Client 042,Transportation & Logistics,Middle Market,4,529808.2780833334,61873.93000000001,8179.596750000001,24908.926413766476,415718.02839074587,4874203.551458946,511791.3729031893,415718.02839074587,361577.52052404656,311691.3571171571,0.8697662738460527,0.21796625115930657,67758.0790324388,310865.0016782459,3,0,1,1,1,11180900.0,0.0,2745.6000000000004,11096000.0,1057000.0,0.6518000226867461,True
R448,Client 448,Education,Middle Market,2,670675.7778666667,246790.162,2625.4647,648.1337574640431,171509.84944210786,1716544.1060618286,180237.131136492,171509.84944210786,325176.0930813428,304594.91114828986,1.8959616263385741,0.40023131363783193,18242.374983190944,45579.57951210787,5,0,4,4,0,8022400.0,0.0,386592.83999999997,6323000.0,0.0,1.4957303127007422,True
R382,Client 382,Retail,Middle Market,6,619892.8376833333,103041.54800000001,42887.319299999996,64268.58519366606,748551.9827849254,8906224.284260912,935153.5498473959,748551.9827849254,382115.24850762024,292289.0105734291,0.5104725620871275,0.028566263567306717,17160.647726452607,600731.2677074255,4,0,7,4,0,17367000.0,0.0,37707.36,16072000.0,0.0,0.4819062985198208,True
R044,Client 044,Energy,Middle Market,7,1177201.9498214289,341726.25,166464.0375,802206.0847038216,2404854.4999070955,31297631.119546477,3286251.26755238,2404854.4999070955,578814.9060315675,290232.36604271596,0.24068603986392037,0.1915332212739418,437114.6812159552,2282187.279619595,4,0,1,4,3,16161500.0,0.0,323160.0,3687000.0,28187000.0,0.04915281858997858,True
R163,Client 163,Education,Middle Market,4,691911.1779285714,176238.19999999998,22644.578749999997,40993.436975308214,954621.4855090069,12596480.59970197,1322630.4629687064,954621.4855090069,402633.8080417079,288079.22978062695,0.4217732516537928,0.3543459544816898,323599.31570765283,913229.8862590069,4,0,4,2,3,4761900.0,0.0,68907.0,2656000.0,27089000.0,0.067427297172103,True
R053,Client 053,Professional Services,Middle Market,5,799777.1990142857,193230.778,49595.65980000001,120516.40742595452,1509907.2264004266,19840680.27178283,2083271.4285371974,1509907.2264004266,467462.46396733366,286273.5967992825,0.309596812170871,0.2122912523877017,305755.11713449,1440262.4399054267,4,0,4,2,3,6970100.0,0.0,104292.96,5666000.0,23463000.0,0.0973055597831693,True
R144,Client 144,Energy,Middle Market,5,778119.4904642856,164679.034,51153.580649999996,332325.41776966624,1641990.7672459406,22024787.23553491,2312602.6597311655,1641990.7672459406,475382.67546847335,278343.7833989605,0.2895160465888719,0.2771871182251826,452305.9728248606,1631771.2587834406,1,0,3,1,3,886900.0,0.0,23744.88,7544000.0,27530000.0,0.012328928363689318,True
R095,Client 095,Retail,Middle Market,4,664002.7796428571,165709.61,15066.696,102749.11593103185,990211.1586765242,12322598.586623538,1293872.8515954711,990211.1586765242,396225.6984714466,277400.3594302637,0.4001426311949723,0.25791164018844803,228408.78156315905,885608.6580515243,5,0,5,5,2,15951400.0,0.0,56338.2,6856000.0,19289000.0,0.14223099100652425,True
